Campo,Desc,LM,F,C,L,CF
CveDpt,Clave del Departamento,12,0,0,0,0
CveUsr,Clave del Usuario,4,14,90,4,93
Denom,Denominación,40,6,20,40,59
Depto,Ubicación física del Bien,60,15,46,60,105
Desc,Descripción del artículo,250,7,16,85,100
Estado,Estado del Bien,25,17,20,25,44
FecAlt,Fecha de alta,10,10,20,10,29
FecAsg,Fecha de Asignación,10,19,25,10,34
Idtfc,Identific. del artículo,30,6,80,26,105
NomUsr,Nombre del Usuario,50,14,22,50,71
NumInv,Número de Inventario,5,0,0,0,0
Observ,Observaciones,60,18,30,60,89
Valor,Valor del Bien,15,10,70,15,84
