Movto,Gpo,Clave,NumInv,AnoPrg,TpoBien,Denomin,FecAlta,DescArt,IdProv,NumFact,FecFact,Costo,IdTipAdq,IdRub,Edo,Localiz,OUT,FecBaja
19953,E,C/P,9512,2007,E,IMPRESORA,2007-10-25,"IMPRESORA.- IMPRESORA DE INYECCION DE TINTA, MARCA: HP, MODELO: D2460, CON VELOCIDAD DE IMPRESION DE 20 PAGINAS POR MINUTO EN HEGRO, 14 PAGINAS POR MINUO A COLOR, CON PUERTO USB, SERIE: STH75N3516T",21,2001,25/10/2007,"1,269.60",CD,MO,6. BAJA (INSERVIBLE),S,0,
19954,E,C/P,9513,2007,E,IMPRESORA,2007-10-25,"IMPRESORA.- IMPRESORA DE INYECCION DE TINTA, MARCA: HP, MODELO: D2460, CON VELOCIDAD DE IMPRESION DE 20 PAGINAS POR MINUTO EN HEGRO, 14 PAGINAS POR MINUO A COLOR, CON PUERTO USB, SERIE: STH75N3514S",21,2001,25/10/2007,"1,269.60",CD,MO,1. BUENO,S,1,02/07/2010
19955,E,C/P,9514,2007,E,IMPRESORA,2007-10-25,"IMPRESORA.- IMPRESORA DE INYECCION DE TINTA, MARCA: HP, MODELO: D2460, CON VELOCIDAD DE IMPRESION DE 20 PAGINAS POR MINUTO EN HEGRO, 14 PAGINAS POR MINUO A COLOR, CON PUERTO USB, SERIE: STH75N3516R",21,2001,25/10/2007,"1,269.60",CD,MO,1. BUENO,S,1,02/07/2010
19956,E,C/P,9515,2007,E,MICROCOMPUTADORA PORTATIL,2007-10-25,"MICROCOMPUTADORA PORTATIL.- MARCA: HP/NO. DE PARTE : GU339AA, SERIE: SCND7390H9Q, CON PROCESADOR INTEL CORE DUO T2300 , CON MEMORIA RAM DE 1 GB, DISCO DURO DE 120 GB, UNIDAD OPTICA DE DVD+/-RW, PANTALLA DE 15.4"", SISTEMA OPERATIVO WINDOWS VISTA.",21,2001,25/10/2007,"14,642.90",CD,MO,6. BAJA (INSERVIBLE),S,0,
19957,E,C/P,9516,2007,E,MICROCOMPUTADORA PORTATIL,2007-10-25,"MICROCOMPUTADORA PORTATIL.- MARCA: HP/NO. DE PARTE : GU339AA, SERIE: SCND7390H7G, CON PROCESADOR INTEL CORE DUO T2300 , CON MEMORIA RAM DE 1 GB, DISCO DURO DE 120 GB, UNIDAD OPTICA DE DVD+/-RW, PANTALLA DE 15.4"", SISTEMA OPERATIVO WINDOWS VISTA.",21,2001,25/10/2007,"14,642.90",CD,MO,6. BAJA (INSERVIBLE),S,0,
19958,E,C/P,9517,2007,E,MICROCOMPUTADORA PORTATIL,2007-10-25,"MICROCOMPUTADORA PORTATIL.- MARCA: HP/NO. DE PARTE : GU339AA, SERIE: SCND7390HFR, CON PROCESADOR INTEL CORE DUO T2300 , CON MEMORIA RAM DE 1 GB, DISCO DURO DE 120 GB, UNIDAD OPTICA DE DVD+/-RW, PANTALLA DE 15.4"", SISTEMA OPERATIVO WINDOWS VISTA.",21,2001,25/10/2007,"14,642.90",CD,MO,1. BUENO,S,0,
19959,E,C/P,9544,2006,E,MESA DE TRABAJO,2006-10-04,"MESA DE TRABAJO.- MODELO ACORDION CON CUBIERTA DESMONTABLE, COLOR: CEDRO MATE, MEDIDAS: 1.80 X .80 X .80",559,225,04/10/2006,"1,955.00",CD,MO,1. BUENO,S,0,
19960,E,C/P,9542,2007,E,CAMARA FOTOGRAFICA,2007-11-08,"CAMARA FOTOGRAFICA,. MARCA: CANON,  MODELO: A460, 5.0 MEGAPIXELES, ZOOM OPTICO 4X Y COMBINADO 16X, PANTALLA LCD DE 2.0, 12 MODOS DE DISPARO Y 5 PUNTOS AIAF, PROCESADOR DIGIC II, SERIE: 4426054771",6,2050,08/11/2007,"1,498.99",CD,MA,7. BAJA (ROBO),S,1,22/05/2012
19961,E,C/P,9543,2007,E,CAMARA FOTOGRAFICA,2007-11-08,"CAMARA FOTOGRAFICA,. MARCA: CANON,  MODELO: POWER SHOT A450, DIGITAL COMPACTO, CON FLASH INCORPORADO,  SENSOR DE IMAGEN PANTALLA LCD A COLOR DE 2.0"" A NIVELES DE AJUSTE DE BRILLANTE, NUMERO DE SERIE: 4326033429",6,2037,08/11/2007,"2,068.38",CD,MA,6. BAJA (INSERVIBLE),S,1,02/04/2013
19962,E,C/P,9546,2007,E,COMPRESORA DE AIRE,2007-12-20,"COMPRESORA DE AIRE.- MODELO: TD2525F, COLOR NEGRO, SERIE: 14796",514,7990,20/12/2007,"1,684.75",CD,MA,1. BUENO,S,0,
