2003,300F2-2,HUAYACOCOTLA,,,,,,,S
2003A,I-30-003-03,PLAZA COMUNITARIA HUAYACOCOTLA,,HUAYACOCOTLA,,HUAYACOCOTLA,,,S
2003B,I-30-004-03,PLAZA COMUNITARIA ZONTECOMATLAN,,ZONTECOMATLAN,,ZONTECOMATLAN,,,S
2003C,I-30-004-04,PLAZA COMUNITARIA TEXCATEPEC,,TEXCATEPEC,,TEXCATEPEC,,,S
2003D,I-30-005-05,PLAZA COMUNITARIA ZACUALPAN,,,,,,,S
2003E,,PLAZA COMUNITARIA ILAMATLAN,,,,,,,S
3001,3001,TANTOYUCA,,,,,,,S
3001-1,3001-1,COORDINACION DE ZONA CERO REZAGO PANUCO,,,,,,,S
3001A,I-30-016-02,PLAZA COMUNITARIA TANTOYUCA,,TANTOYUCA,,TANTOYUCA,,,S
3001B,I-30-054-03,PLAZA COMUNITARIA PLATON SANCHEZ,,PLATON SANCHEZ,,PLATON SANCEZ,,,S
3001C,I-30-043-03,PLAZA COMUNITARIA TEMPOAL,,TEMPOAL,,TEMPOAL,,,S
3001D,I-30-020-02,PLAZA COMUNITARIA PANUCO,,PANUCO,,PANUCO,,,S
3001E,I-30-001-03,PLAZA COMUNITARIA CHALMA,,CHALMA,,CHALMA,,,S
3001F,I-30-001-04,PLAZA COMUNITARIA ACECECA,,ACECECA,,TANTOYUCA,,,S
3002,3002,NARANJOS,,,,,,,S
3002-2,3002-2,COORDINACION DE ZONA CERO REZAGO PUEBLO VIEJO,,,,,,,S
3002A,I-30-063-03,PLAZA COMUNITARIA PUEBLO VIEJO,,PUEBLO VIEJO,,PUEBLO VIEJO,,,S
3002B,I-30-061-03,PLAZA COMUNITARIA OZULUAMA DE MASCAREÑAS,,OZULUAMA DE MASCAREÑAS,,OZULUAMA DE MASCAREÑAS,,,S
3002C,I-30-048-03,PLAZA COMUNITARIA TANTIMA,,TANTIMA,,TANTIMA,,,S
3002D,I-30-002-03,PLAZA COMUNITARIA CHINAMPA DE GOROSTIZA,,KILOMETRO 22,,CHINAMPA DE GOROSTIZA,,,S
3002E,I-30-023-02,PLAZA COMUNITARIA CHONTLA,,CHONTLA,,CHONTLA,,,S
3002F,I-30-006-02,PLAZA COMUNITARIA NARANJOS DE AMATLAN,,NARANJOS DE AMATLAN,,NARANJOS DE AMATLAN,,,S
3002G,I-30-006-03,PLAZA COMUNITARIA IXCATEPEC,,IXCATEPEC,,IXCATEPEC,,,S
3003,3003,CHICONTEPEC,,,,,,,S
3003-3,3003-3,COORDINACION DE ZONA CERO REZAGO CHICONTEPEC,,,,,,,S
3003A,I-30-007-03,PLAZA COMUNITARIA BENITO JUAREZ,,PILPUERTA,,BENITO JUAREZ,,,S
3004,3004,TUXPAN,,,,,,,S
3004A,I-30-008-03,PLAZA COMUNITARIA SANTIAGO DE LA PEÑA,,SANTIAGO DE LA PEÑA,,SANTIAGO DE LA PEÑA,,,S
3004B,I-30-007-02,PLAZA COMUNITARIA TAMIAHUA,,TAMIAHUA,,TAMIAHUA,,,S
3004I,3004I,DEPTO. DE EDUCACIÓN INDÍGENA,,,,,,,S
3005,3005,POZA RICA,,,,,,,S
3005-5,3005-5,COORDINACION DE ZONA CERO REZAGO COATZINTLA TIHUATLAN,,,,,,,S
3005A,I-30-003-02,PLAZA COMUNITARIA POZA RICA,,POZA RICA,,POZA RICA,,,S
3005B,I-30-011-03,PLAZA COMUNITARIA CAZONES,,CAZONES,,CAZONES,,,S
3005C,I-30-042-03,PLAZA COMUNITARIA COATZINTLA,,COATZINTLA,,COATZINTLA,,,S
3006,3006,PAPANTLA,,,,,,,S
3006-6,3006-6,COORDINACION DE ZONA CERO REZAGO PAPANTLA,,,,,,,S
3006A,I-30-013-03,PLAZA COMUNITARIA PAPANTLA,,CARRIZAL,,PAPANTLA,,,S
3006B,I-30-008-02,PLAZA COMUNITARIA NAUTLA,,NAUTLA,,NAUTLA,,,S
3006C,I-30-049-03,PLAZA COMUNITARIA TECOLUTLA,,HUEYTEPEC,,TECOLUTLA,,,S
3006D,I-30-057-03,PLAZA COMUNITARIA MESA CHICA LA GLORIA,,MESA CHICA LA GLORIA,,PAPANTLA,,,S
3006E,I-30-012-03,PLAZA COMUNITARIA VEGA DE ALA TORRE,,VEGA DE ALA TORRE,,VEGA DE ALA TORRE,,,S
3006F,,PLAZA COMUNITARIA AGUA DULCE,,AGUA DULCE,,PAPANTLA,,,S
3006G,,PLAZA COMUNITARIA GUTIERREZ ZAMORA,,,,,,,S
3007,3007,ESPINAL,,,,,,,S
3007A,I-30-009-02,PLAZA COMUNITARIA ESPINAL,,ESPINAL,,ESPINAL,,,S
3007B,I-30-014-03,PLAZA COMUNITARIA CHUMATLAN,,CHUMATLAN,,CHUMATLAN,,,S
3007C,I-30-015-03,PLAZA COMUNITARIA COXQUIHUI,,COXQUIHUI,,COXQUIHUI,,,S
3007D,I-30-016-03,PLAZA COMUNITARIA MECATLAN,,MECATLAN,,MECATLAN,,,S
3007E,I-30-017-03,PLAZA COMUNITARIA COYUTLA,,COYUTLA,,COYUTLA,,,S
3007F,I-30-018-03,PLAZA COMUNITARIA FILOMENO MATA,,FILOMENO MATA,,FILOMENO MATA,,,S
3008,3008,MARTINEZ DE LA TORRE,,,,,,,S
3008-8,3008-8,COORDINACION DE ZONA CERO REZAGO MARTINEZ DE LA TORRE,,,,,,,S
3008-8A,3008-8A,COORDINACION DE ZONA CERO REZAGO MISANTLA,,,,,,,S
3008A,I-30-022-03,PLAZA COMUNITARIA YECUATLA,,YECUATLA,,YECUATLA,,,S
